ORIGIN_SUBZONE,DESTINATION_SUBZONE,PT_COUNT,VH_COUNT,WK_COUNT,COUNT
AMSZ01,AMSZ01,4,2.6074546706267663,43.68811932452947,50.29557399515623
AMSZ01,AMSZ02,5,1.202153927831687,3.4562477645257887,9.658401692357476
AMSZ01,AMSZ03,12,1.2047634250344876,2.4337998819470448,15.638563306981531
AMSZ01,AMSZ04,4,0.41115421158689075,0.23388143498899513,4.645035646575886
AMSZ01,AMSZ05,4,1.3310510094840358,0.8496321263153742,6.180683135799409
AMSZ01,AMSZ06,8,1.7233649548617407,0.534196036788318,10.257560991650058
AMSZ01,AMSZ07,3,1.7718485361288894,0.0,4.771848536128889
AMSZ01,AMSZ09,8,1.1849215544428817,0.35544714878453215,9.540368703227415
AMSZ01,AMSZ10,3,1.0451650430584425,0.06690414412544912,4.112069187183892
AMSZ01,AMSZ11,1,0.11431808950161254,0.09656282734367935,1.2108809168452919
AMSZ01,AMSZ12,5,0.49128355916810806,0.5585809574802384,6.049864516648347
AMSZ01,BDSZ01,2,1.0739695188414082,0.0,3.073969518841408
AMSZ01,BDSZ03,1,0.594763800218257,0.0,1.594763800218257
AMSZ01,BDSZ04,2,1.0060972618905277,0.0,3.0060972618905275
AMSZ01,BDSZ06,1,0.8639673228371544,0.0,1.8639673228371545
AMSZ01,BKSZ09,1,0.3732115641695281,0.0,1.3732115641695282
AMSZ01,BMSZ14,1,0.13920943821762657,0.0,1.1392094382176265
AMSZ01,BPSZ03,1,0.39589359249289335,0.0,1.3958935924928935
AMSZ01,BSSZ01,12,3.3916770304343546,0.4243872678302708,15.816064298264626
AMSZ01,BSSZ02,3,1.8698063442047064,0.2189427846649148,5.088749128869621
AMSZ01,BTSZ01,1,0.4866599354579404,0.0,1.4866599354579404
AMSZ01,BTSZ05,1,0.234765653298854,0.0,1.234765653298854
AMSZ01,CHSZ03,2,1.661405281781717,0.0,3.6614052817817173
AMSZ01,CKSZ03,4,1.7329665634172322,0.0,5.732966563417232
AMSZ01,CKSZ04,1,0.3494388718131968,0.0,1.3494388718131969
AMSZ01,CKSZ05,1,0.24072397946872776,0.0,1.2407239794687277
AMSZ01,CKSZ06,1,0.4548260086889253,0.0,1.4548260086889253
AMSZ01,CLSZ03,1,0.4677278476601224,0.0,1.4677278476601223
AMSZ01,CLSZ04,1,0.38982015604511877,0.0,1.3898201560451189
