ORIGIN_SUBZONE,DESTINATION_SUBZONE,PT_COUNT,VH_COUNT,WK_COUNT,COUNT
AMSZ01,AMSZ01,4,3.305853629462522,44.364152711128,51.67000634059052
AMSZ01,AMSZ02,5,1.3375601907000985,3.3380353422668936,9.675595532966991
AMSZ01,AMSZ03,12,1.1840154700419108,2.1510979398991528,15.335113409941062
AMSZ01,AMSZ04,4,0.5481977420770593,0.25355817172876494,4.801755913805824
AMSZ01,AMSZ05,4,1.478665159412536,0.9004623929932006,6.379127552405737
AMSZ01,AMSZ06,8,1.8236657040598916,0.4983836742099436,10.322049378269835
AMSZ01,AMSZ07,3,1.441161790051881,0.0,4.441161790051881
AMSZ01,AMSZ09,8,1.3567175158161524,0.32666012631509705,9.68337764213125
AMSZ01,AMSZ10,3,0.9794101283250456,0.060990810567521335,4.040400938892566
AMSZ01,AMSZ11,1,0.11602757833629268,0.0548637928339541,1.1708913711702469
AMSZ01,AMSZ12,5,0.517346882021099,0.4938686614091856,6.011215543430284
AMSZ01,BDSZ01,2,1.214754698356443,0.0,3.214754698356443
AMSZ01,BDSZ03,1,0.6330754310463786,0.0,1.6330754310463786
AMSZ01,BDSZ04,2,1.0096259938689616,0.0,3.0096259938689616
AMSZ01,BDSZ06,1,0.8282970104268413,0.0,1.8282970104268412
AMSZ01,BKSZ09,1,0.36845342101051737,0.0,1.3684534210105173
AMSZ01,BMSZ14,1,0.16851734904134416,0.0,1.168517349041344
AMSZ01,BPSZ03,1,0.40234902189046245,0.0,1.4023490218904624
AMSZ01,BSSZ01,12,3.573179290093667,0.3893435547135185,15.962522844807184
AMSZ01,BSSZ02,3,1.666027529175033,0.20466620456700266,4.870693733742036
AMSZ01,BTSZ01,1,0.527743950381932,0.0,1.527743950381932
AMSZ01,BTSZ05,1,0.17389433610058905,0.0,1.1738943361005891
AMSZ01,CHSZ03,2,1.520072376926258,0.0,3.520072376926258
AMSZ01,CKSZ03,4,1.7295612472614166,0.0,5.729561247261417
AMSZ01,CKSZ04,1,0.2768781080259969,0.0,1.276878108025997
AMSZ01,CKSZ05,1,0.2190336927464404,0.0,1.2190336927464405
AMSZ01,CKSZ06,1,0.4500884237943857,0.0,1.4500884237943856
AMSZ01,CLSZ03,1,0.4100167327699586,0.0,1.4100167327699586
AMSZ01,CLSZ04,1,0.3435798348133746,0.0,1.3435798348133745
AMSZ01,CLSZ05,1,0.27733986654403786,0.0,1.2773398665440379
AMSZ01,DTSZ02,3,0.7253894993012939,0.0,3.725389499301294
AMSZ01,DTSZ09,2,0.1833655666844921,0.0,2.183365566684492
AMSZ01,DTSZ12,1,0.1578329022953619,0.0,1.157832902295362
AMSZ01,GLSZ02,2,0.6818734765290899,0.0,2.68187347652909
AMSZ01,HGSZ01,1,0.34853639827326943,0.0,1.3485363982732694
AMSZ01,HGSZ02,2,1.7857184632921828,0.0,3.7857184632921825
AMSZ01,HGSZ03,1,0.6987436154938582,0.0,1.6987436154938582
AMSZ01,HGSZ04,8,4.275158751856115,0.0,12.275158751856114
AMSZ01,HGSZ05,1,0.8676819179743188,0.0,1.867681917974319
AMSZ01,HGSZ06,7,1.8602681357022395,0.0,8.86026813570224
AMSZ01,HGSZ07,4,0.7134842476170065,0.0,4.713484247617006
AMSZ01,HGSZ08,2,0.8367100317337506,0.0,2.836710031733751
AMSZ01,JESZ05,1,0.3858318238551179,0.0,1.385831823855118
AMSZ01,JWSZ02,1,0.3531321610592883,0.0,1.3531321610592884
AMSZ01,JWSZ04,1,0.5168741134915599,0.0,1.5168741134915598
AMSZ01,JWSZ08,1,0.8207337784596909,0.0,1.8207337784596909
AMSZ01,KLSZ01,1,0.9173351631808275,0.0,1.9173351631808275
AMSZ01,KLSZ02,1,0.23674943154577419,0.0,1.236749431545774
AMSZ01,KLSZ05,1,0.25959578339163675,0.0,1.2595957833916367
AMSZ01,KLSZ06,1,0.5510621968396521,0.0,1.551062196839652
AMSZ01,MUSZ01,1,0.1986721906191419,0.0,1.198672190619142
AMSZ01,NTSZ03,1,0.1051000340416312,0.0,1.1051000340416313
AMSZ01,NVSZ01,1,1.2363359046243971,0.0,2.236335904624397
AMSZ01,NVSZ02,3,0.9513102849938642,0.0,3.9513102849938644
AMSZ01,ORSZ02,5,1.0193081676765567,0.0,6.019308167676557
AMSZ01,OTSZ03,4,1.2172602459375303,0.0,5.21726024593753
AMSZ01,OTSZ04,1,0.07942769354088224,0.0,1.0794276935408822
AMSZ01,PGSZ02,1,0.5888598282673914,0.0,1.5888598282673914
AMSZ01,PGSZ03,3,1.1737180421498008,0.0,4.173718042149801
AMSZ01,PGSZ04,2,1.5003457064159884,0.0,3.500345706415988
AMSZ01,PGSZ05,3,1.709540628993211,0.0,4.709540628993211
AMSZ01,PLSZ04,1,0.05820368118676101,0.0,1.058203681186761
AMSZ01,PRSZ05,1,0.8160751179724557,0.0,1.8160751179724557
AMSZ01,PRSZ08,1,0.459760697269658,0.0,1.459760697269658
AMSZ01,QTSZ05,1,0.3541430552754843,0.0,1.3541430552754843
AMSZ01,QTSZ08,1,0.4348698771764678,0.0,1.4348698771764679
AMSZ01,QTSZ10,1,0.39166162786311187,0.0,1.3916616278631118
AMSZ01,QTSZ11,2,0.6968992375678048,0.0,2.6968992375678047
AMSZ01,RCSZ01,1,0.17440438945136374,0.0,1.1744043894513638
AMSZ01,RCSZ03,1,0.12723716160343615,0.0,1.1272371616034362
AMSZ01,SBSZ01,2,0.9874825500515964,0.0,2.9874825500515962
AMSZ01,SBSZ03,5,0.9897689033972075,0.0,5.9897689033972075
AMSZ01,SBSZ04,1,0.5330818297319939,0.0,1.533081829731994
AMSZ01,SBSZ05,1,0.05581977112068009,0.0,1.05581977112068
AMSZ01,SESZ02,3,1.932785065591206,0.0,4.932785065591206
AMSZ01,SESZ03,4,2.367857738700801,0.0,6.367857738700801
AMSZ01,SESZ04,9,2.265984832563913,0.0,11.265984832563912
AMSZ01,SESZ05,1,0.4506706173484678,0.0,1.4506706173484678
AMSZ01,SESZ06,5,3.561055922857585,0.0,8.561055922857586
AMSZ01,SGSZ01,2,1.4918171597846381,0.42500258079741043,3.9168197405820484
AMSZ01,SGSZ02,1,0.4445023553727128,0.0,1.4445023553727128
AMSZ01,SGSZ03,6,1.7782268366164888,0.19604297671622564,7.974269813332715
AMSZ01,SGSZ04,13,2.582180947502689,1.1911295393601193,16.77331048686281
AMSZ01,SGSZ05,1,0.5456793151387335,0.15052926276522488,1.6962085779039584
AMSZ01,SGSZ06,3,0.9498689354039292,0.0,3.9498689354039294
AMSZ01,SGSZ07,1,0.39001315246526846,0.0,1.3900131524652686
AMSZ01,SRSZ01,1,0.3319459602301878,0.0,1.3319459602301877
AMSZ01,SRSZ02,1,0.0622397002141608,0.0,1.0622397002141608
AMSZ01,TMSZ04,7,1.8187633607141296,0.0,8.81876336071413
AMSZ01,TPSZ01,1,0.5399867388823213,0.0,1.5399867388823214
AMSZ01,TPSZ02,2,0.9423088098408519,0.0,2.942308809840852
AMSZ01,TPSZ03,1,0.3707931923238287,0.0,1.3707931923238288
AMSZ01,TPSZ04,1,0.24594799759047534,0.0,1.2459479975904753
AMSZ01,TPSZ06,6,0.8564224181180687,0.0,6.856422418118068
AMSZ01,TPSZ07,1,0.20803799419513178,0.0,1.2080379941951318
AMSZ01,TPSZ10,1,0.2578385273541392,0.0,1.2578385273541393
AMSZ01,WDSZ02,7,1.2895406946472077,0.0,8.289540694647208
