ORIGIN_SUBZONE,DESTINATION_SUBZONE,PT_COUNT,VH_COUNT,WK_COUNT,COUNT
1101053,1122067,1,0,0,1
1101053,1123051,1,1,0,2
1101053,1123053,1,5,0,6
1101053,1123059,1,0,0,1
1101053,1123063,1,0,0,1
1101053,1123064,3,1,0,4
1101053,1123065,2,1,0,3
1101053,1123073,1,0,0,1
1101053,1123074,2,0,0,2
1101053,1123077,1,0,0,1
1101053,1123079,2,1,0,3
1101053,1123080,1,0,0,1
1101053,1124054,1,0,0,1
1101053,1124055,1,0,0,1
1101053,1124056,1,0,0,1
1101053,1124057,1,0,0,1
1101053,1124058,1,0,0,1
1101053,1124063,1,0,0,1
1101053,1124067,1,0,0,1
1101053,1124068,2,0,0,2
1101053,1124075,4,0,0,4
1101053,1124077,1,1,0,2
1101053,1124078,2,0,0,2
1101053,1124079,1,1,0,2
1101053,1124080,3,1,0,4
1101053,1124081,1,1,0,2
1101053,1125053,1,2,0,3
1101053,1125055,1,1,0,2
1101053,1125056,1,0,0,1
1101053,1125063,1,0,0,1
1101053,1125067,1,0,0,1
1101053,1125072,1,0,0,1
1101053,1125073,1,0,0,1
1101054,1101053,4,1,2,7
1101054,1101054,5,0,14,19
1101054,1101057,1,0,1,2
1101054,1101060,1,3,17,21
1101054,1101061,7,3,9,19
1101054,1101064,1,1,0,2
1101054,1101070,2,0,0,2
1101054,1101073,1,1,0,2
1101054,1102054,1,1,0,2
1101054,1102055,1,3,0,4
1101054,1102059,1,0,0,1
1101054,1102065,1,0,0,1
1101054,1102067,1,0,0,1
1101054,1102072,1,0,0,1
1101054,1103053,1,0,0,1
1101054,1103057,1,0,0,1
1101054,1103064,1,0,0,1
1101054,1103069,1,0,0,1
1101054,1103074,1,0,0,1
1101054,1104062,1,0,0,1
1101054,1104072,3,0,0,3
1101054,1104073,1,0,0,1
1101054,1105057,1,0,0,1
1101054,1105062,1,0,0,1
1101054,1105063,1,0,0,1
1101054,1106081,1,0,0,1
1101054,1106082,2,0,0,2
1101054,1106087,1,0,0,1
1101054,1106090,1,0,0,1
1101054,1107062,1,0,0,1
1101054,1107071,1,0,0,1
1101054,1108062,2,0,0,2
1101054,1108064,1,0,0,1
1101054,1108066,1,0,0,1
1101054,1108068,1,0,0,1
1101054,1108081,2,1,0,3
1101054,1109075,1,0,0,1
1101054,1112051,4,0,0,4
1101054,1112052,1,0,0,1
1101054,1112055,1,0,0,1
1101054,1112059,1,0,0,1
1101054,1112066,1,1,0,2
1101054,1112068,1,0,0,1
1101054,1112073,1,0,0,1
1101054,1112074,1,0,0,1
1101054,1113052,2,0,0,2
1101054,1113065,1,0,0,1
1101054,1113066,1,1,0,2
1101054,1113068,1,1,0,2
1101054,1113072,1,0,0,1
1101054,1113075,2,1,0,3
1101054,1114066,1,0,0,1
1101054,1114068,1,0,0,1
1101054,1114076,1,0,0,1
1101054,1114077,1,0,0,1
1101054,1117064,1,0,0,1
1101054,1117069,1,0,0,1
1101054,1119054,3,0,0,3
1101054,1119072,1,0,0,1
1101054,1119076,2,0,0,2
1101054,1120072,1,0,0,1
1101054,1121058,1,0,0,1
1101054,1122062,1,0,0,1
1101054,1123051,2,0,0,2
1101054,1123052,2,0,0,2
1101054,1123064,1,1,0,2
1101054,1123077,1,0,0,1
1101054,1125065,1,0,0,1
1101054,1125071,2,0,0,2
1101055,1101053,3,1,0,4
1101055,1101055,5,6,35,46
1101055,1101056,1,3,12,16
1101055,1101057,1,0,0,1
1101055,1101061,9,3,2,14
1101055,1101072,3,7,12,22
1101055,1102052,1,0,0,1
1101055,1102055,1,0,0,1
1101055,1102057,1,0,0,1
1101055,1102060,2,0,0,2
1101055,1102065,1,0,0,1
1101055,1102069,1,2,0,3
1101055,1102071,1,1,0,2
1101055,1103071,1,0,0,1
1101055,1103073,1,1,0,2
1101055,1104056,1,0,0,1
1101055,1104062,1,0,0,1
1101055,1104073,1,0,0,1
1101055,1105063,2,0,0,2
1101055,1106072,1,0,0,1
1101055,1106080,1,0,0,1
1101055,1106082,1,0,0,1
1101055,1106083,1,0,0,1
1101055,1106087,1,0,0,1
1101055,1107052,1,0,0,1
1101055,1108060,1,0,0,1
1101055,1108064,2,0,0,2
1101055,1108065,1,0,0,1
1101055,1108068,1,1,0,2
1101055,1108085,1,0,0,1
1101055,1109060,2,0,0,2
1101055,1109071,2,1,0,3
1101055,1109075,1,0,0,1
1101055,1110055,1,0,0,1
1101055,1110061,1,0,0,1
1101055,1110062,1,0,0,1
1101055,1111073,1,0,0,1
1101055,1112052,2,1,0,3
1101055,1112055,1,0,0,1
1101055,1112057,1,0,0,1
1101055,1112058,1,0,0,1
1101055,1112059,3,0,0,3
1101055,1112060,2,0,0,2
1101055,1112068,1,0,0,1
1101055,1112073,1,0,0,1
1101055,1112074,1,0,0,1
1101055,1113062,2,0,0,2
1101055,1113064,5,1,2,8
1101055,1113066,2,2,0,4
1101055,1113068,1,0,0,1
1101055,1113070,1,0,0,1
1101055,1113075,3,2,0,5
1101055,1113076,1,0,0,1
1101055,1114066,1,0,0,1
1101055,1114074,1,0,0,1
1101055,1119054,1,0,0,1
1101055,1120056,1,0,0,1
1101055,1120069,1,0,0,1
1101055,1120072,2,0,0,2
1101055,1121057,1,0,0,1
1101055,1121064,1,0,0,1
1101055,1123052,2,1,0,3
1101055,1123074,1,0,0,1
1101056,1101053,6,1,0,7
1101056,1101055,1,2,13,16
1101056,1101056,4,4,33,41
1101056,1101061,3,4,0,7
1101056,1101072,6,4,1,11
1101056,1102052,1,1,0,2
1101056,1102054,1,0,1,2
1101056,1102055,1,3,0,4
1101056,1102057,2,1,0,3
1101056,1102068,1,0,0,1
1101056,1103072,1,0,0,1
1101056,1103074,1,0,0,1
1101056,1104071,2,0,0,2
1101056,1105063,1,0,0,1
1101056,1106071,1,0,0,1
1101056,1107061,1,0,0,1
1101056,1107062,1,0,0,1
1101056,1108063,2,3,1,6
1101056,1108064,2,0,0,2
1101056,1108065,2,0,0,2
1101056,1108066,1,0,0,1
1101056,1108068,1,0,0,1
1101056,1108071,1,0,0,1
1101056,1108078,1,0,0,1
1101056,1108082,1,0,0,1
1101056,1108083,2,0,0,2
1101056,1109069,1,0,0,1
1101056,1109071,2,2,0,4
1101056,1109072,1,0,0,1
1101056,1109075,1,0,0,1
1101056,1110061,1,0,0,1
1101056,1111056,1,0,0,1
1101056,1111078,1,0,0,1
1101056,1112052,3,0,0,3
1101056,1112057,1,0,0,1
1101056,1112060,1,0,0,1
1101056,1112072,1,1,1,3
1101056,1113062,2,1,0,3
1101056,1113064,2,4,0,6
1101056,1113066,3,1,0,4
1101056,1113075,1,1,0,2
1101056,1113076,2,2,0,4
1101056,1114066,1,0,0,1
1101056,1114076,1,0,0,1
1101056,1114077,1,0,0,1
1101056,1117051,1,0,0,1
1101056,1120068,1,0,0,1
1101056,1121057,1,0,0,1
1101056,1122063,1,0,0,1
1101056,1123051,2,0,0,2
1101057,1101053,5,2,2,9
1101057,1101055,1,0,0,1
1101057,1101057,2,4,118,124
1101057,1101058,2,2,7,11
1101057,1101061,17,5,0,22
1101057,1101063,4,1,0,5
1101057,1101064,2,2,0,4
1101057,1101072,2,1,1,4
1101057,1101073,2,0,0,2
1101057,1102052,2,1,2,5
1101057,1102054,2,1,0,3
1101057,1102055,4,2,1,7
1101057,1102057,1,0,0,1
1101057,1106081,1,0,0,1
1101057,1108064,1,0,0,1
1101057,1112052,2,1,0,3
1101057,1112056,1,0,0,1
1101057,1112057,1,0,0,1
1101057,1112068,2,0,0,2
1101057,1112071,1,1,0,2
1101057,1112073,2,1,0,3
1101057,1112074,1,0,0,1
1101057,1113052,2,1,20,23
1101057,1113062,2,3,3,8
1101057,1113064,5,1,2,8
1101057,1113066,1,0,0,1
1101057,1113073,2,1,3,6
1101057,1113075,3,0,0,3
1101057,1113076,3,3,0,6
1101057,1114066,2,0,0,2
1101057,1119054,1,0,0,1
1101057,1124077,1,0,0,1
1101058,1101057,1,2,7,10
1101058,1101058,2,2,34,38
1101058,1101060,1,0,0,1
1101058,1101061,3,0,1,4
1101058,1101063,1,0,0,1
1101058,1101064,2,1,0,3
1101058,1101071,2,0,0,2
1101058,1101072,1,2,2,5
1101058,1101073,1,0,0,1
1101058,1102054,2,0,0,2
1101058,1102055,1,1,2,4
1101058,1102060,1,1,0,2
1101058,1102073,1,0,0,1
1101058,1103052,1,0,0,1
1101058,1103053,1,1,0,2
1101058,1104065,1,0,0,1
1101058,1106071,1,0,0,1
1101058,1106081,1,0,0,1
1101058,1106082,1,0,0,1
1101058,1106088,1,0,0,1
1101058,1107061,1,0,0,1
1101058,1107069,1,0,0,1
1101058,1108062,1,0,0,1
1101058,1110063,1,0,0,1
1101058,1110065,1,0,0,1
1101058,1111079,1,0,0,1
1101058,1112051,3,0,0,3
1101058,1112052,2,1,0,3
1101058,1112055,1,0,0,1
1101058,1112058,1,0,0,1
1101058,1112059,1,2,1,4
1101058,1112073,1,0,0,1
1101058,1113052,4,2,18,24
1101058,1113062,2,0,0,2
1101058,1113065,2,1,1,4
1101058,1113066,1,0,0,1
1101058,1113068,1,3,0,4
1101058,1113073,2,0,2,4
1101058,1113075,1,0,0,1
1101058,1113076,1,0,0,1
1101058,1114060,1,1,0,2
1101058,1114068,1,1,0,2
1101058,1114075,2,0,0,2
1101058,1114077,1,0,0,1
1101058,1114078,1,0,0,1
1101058,1115070,1,1,0,2
1101058,1116067,1,1,0,2
1101058,1116073,1,0,0,1
1101058,1119061,1,0,0,1
1101058,1119065,1,0,0,1
1101058,1120053,1,0,0,1
1101058,1120072,1,0,0,1
1101058,1120073,1,0,0,1
1101058,1122055,1,0,0,1
1101058,1123064,1,0,0,1
1101058,1124067,1,0,0,1
1101058,1124077,1,0,0,1
1101060,1101053,3,0,0,3
1101060,1101054,2,3,19,24
1101060,1101061,9,6,15,30
1101060,1101063,1,0,2,3
1101060,1101064,4,0,2,6
1101060,1101067,3,1,0,4
1101060,1101072,1,1,1,3
1101060,1102055,1,3,1,5
1101060,1102057,1,0,0,1
1101060,1102060,1,2,1,4
1101060,1102068,1,0,0,1
1101060,1103053,1,0,0,1
1101060,1103063,1,0,0,1
1101060,1104055,1,0,0,1
1101060,1104072,2,0,0,2
1101060,1104073,1,1,0,2
1101060,1106081,1,0,0,1
1101060,1106082,1,0,0,1
1101060,1106089,1,0,0,1
1101060,1107059,1,0,0,1
1101060,1108059,2,0,0,2
1101060,1108061,1,0,0,1
1101060,1108062,2,1,0,3
1101060,1108063,2,0,0,2
1101060,1108066,1,0,0,1
1101060,1108081,1,0,0,1
1101060,1111052,1,0,0,1
1101060,1111078,2,0,0,2
1101060,1111079,1,0,0,1
1101060,1112052,1,1,0,2
1101060,1112058,1,0,0,1
1101060,1112060,1,0,0,1
1101060,1112071,1,0,0,1
1101060,1112072,1,0,0,1
1101060,1113062,2,0,0,2
1101060,1113066,1,0,0,1
1101060,1113072,1,0,0,1
1101060,1113073,1,0,0,1
1101060,1113076,2,0,0,2
1101060,1114066,1,0,0,1
1101060,1114072,2,0,0,2
1101060,1115051,1,0,0,1
1101060,1116058,1,0,0,1
1101060,1116073,1,0,0,1
1101060,1117054,1,1,0,2
1101060,1118051,1,0,0,1
1101060,1119054,3,2,0,5
1101060,1119071,1,0,0,1
1101060,1120070,1,0,0,1
1101060,1120072,1,0,0,1
1101060,1120073,1,0,0,1
1101060,1121052,1,0,0,1
1101060,1121083,1,0,0,1
1101060,1122060,1,0,0,1
1101060,1122061,1,0,0,1
1101060,1122062,1,0,0,1
1101060,1122064,1,0,0,1
1101060,1122066,1,1,0,2
1101060,1123052,1,0,0,1
1101060,1123058,1,0,0,1
