DESTINATION_SUBZONE,LU_H,LU_W,LU_O
1101053,0.13748378728923477,0.6420233463035019,0.2204928664072633
1101054,0.18085106382978725,0.5053191489361702,0.31382978723404253
1101055,0.4343891402714932,0.4479638009049774,0.11764705882352942
1101056,0.5422885572139303,0.31840796019900497,0.13930348258706468
1101057,0.7461300309597523,0.14860681114551083,0.10526315789473684
1101058,0.34536082474226804,0.3556701030927835,0.29896907216494845
1101060,0.532608695652174,0.3405797101449275,0.12681159420289856
1101061,0.028899082568807338,0.6614678899082569,0.3096330275229358
1101063,0.12956204379562045,0.6094890510948905,0.26094890510948904
1101064,0.1536926147704591,0.42714570858283435,0.4191616766467066
1101067,0.21300448430493274,0.5224215246636772,0.2645739910313901
1101068,0.32515337423312884,0.44785276073619634,0.22699386503067484
1101069,0.8154613466334164,0.12718204488778057,0.057356608478802994
1101070,0.6122448979591837,0.2142857142857143,0.17346938775510207
1101071,0.47478991596638653,0.3487394957983193,0.1764705882352941
1101072,0.28073394495412846,0.47155963302752296,0.24770642201834864
1101073,0.4158730158730158,0.36719576719576713,0.21693121693121692
1102052,0.07244655581947743,0.6484560570071258,0.27909738717339666
1102054,0.12386363636363634,0.5568181818181818,0.3193181818181818
1102055,0.041173152848279757,0.697687535250987,0.2611393119007332
1102057,0.2077922077922078,0.582972582972583,0.20923520923520925
1102058,0.4629629629629629,0.38580246913580246,0.15123456790123457
1102059,0.24659400544959126,0.5681198910081744,0.18528610354223435
1102060,0.08333333333333333,0.6757246376811594,0.24094202898550723
1102065,0.6331521739130436,0.25815217391304346,0.10869565217391304
1102067,0.42486085343228197,0.3914656771799629,0.18367346938775508
1102068,0.48837209302325585,0.3744186046511628,0.1372093023255814
1102069,0.21384928716904278,0.5743380855397149,0.21181262729124237
1102070,0.43309859154929575,0.3943661971830986,0.17253521126760563
1102071,0.5021008403361344,0.29831932773109243,0.19957983193277307
1102072,0.5190311418685121,0.3356401384083045,0.1453287197231834
1102073,0.7583892617449665,0.16442953020134227,0.07718120805369126
1103051,0.5603174603174603,0.24126984126984127,0.19841269841269843
1103052,0.482837528604119,0.3684210526315789,0.14874141876430205
1103053,0.2715572715572716,0.45302445302445304,0.2754182754182754
1103057,0.5844504021447721,0.23592493297587133,0.17962466487935658
1103058,0.5677083333333334,0.24479166666666666,0.18750000000000003
1103059,0.7166666666666668,0.19166666666666668,0.09166666666666667
1103063,0.5903846153846154,0.2653846153846154,0.14423076923076922
1103064,0.8,0.07586206896551725,0.12413793103448278
1103065,0.32432432432432434,0.4842342342342342,0.19144144144144143
1103066,0.6304347826086957,0.21304347826086953,0.15652173913043477
1103069,0.4870689655172415,0.27586206896551724,0.23706896551724138
1103070,0.5064599483204134,0.268733850129199,0.2248062015503876
1103071,0.3741496598639456,0.4285714285714286,0.19727891156462585
1103072,0.5271629778672032,0.30784708249496984,0.164989939637827
1103073,0.21329365079365079,0.48313492063492064,0.30357142857142855
1103074,0.38870967741935486,0.3612903225806452,0.25
1104052,0.5801749271137027,0.2565597667638484,0.163265306122449
1104054,0.46292585170340683,0.36472945891783565,0.17234468937875752
1104055,0.2782071097372488,0.5285935085007728,0.19319938176197834
1104056,0.30948905109489055,0.383941605839416,0.30656934306569344
1104057,0.5452054794520548,0.2821917808219178,0.17260273972602738
1104058,0.7084870848708488,0.1881918819188192,0.10332103321033212
1104059,0.5921985815602837,0.22695035460992907,0.18085106382978722
1104062,0.6336996336996338,0.24908424908424912,0.11721611721611722
1104065,0.3290113452188007,0.47974068071312803,0.1912479740680713
1104066,0.39886578449905485,0.4234404536862004,0.1776937618147448
1104067,0.3817504655493483,0.41713221601489764,0.2011173184357542
1104068,0.2950075642965204,0.5491679273827534,0.1558245083207262
1104069,0.669260700389105,0.2178988326848249,0.11284046692607001
1104070,0.49670329670329677,0.3626373626373627,0.14065934065934066
1104071,0.436046511627907,0.3023255813953489,0.2616279069767442
1104072,0.5728155339805825,0.19902912621359226,0.22815533980582525
