SUBZONE_C,X,Y
1101053,126.97014369441915,37.57410804599585
1101054,126.98111371535119,37.58801343786099
1101055,126.96255674822726,37.59669865828478
1101056,126.96927401969062,37.61396501050033
1101057,126.95898905009362,37.57774075208369
1101058,126.96416097712861,37.571052978672476
1101060,126.98661822520299,37.582676443745356
1101061,126.98973332075825,37.575076552596535
1101063,127.00424098497237,37.57301599654881
1101064,127.00306925618817,37.57969000921075
1101067,127.01401911698258,37.57226264694651
1101068,127.01025166159516,37.57575481368632
1101069,127.0132088222634,37.57881917356339
1101070,127.01686118953197,37.577225176766305
1101071,127.02063762918088,37.57430674868887
1101072,126.97041748796049,37.584658059598866
1101073,126.99768910817899,37.58747147540307
1102052,126.97435863252046,37.56429679244129
1102054,126.97670860333852,37.556968159897025
1102055,126.98435541918994,37.56372808973066
1102057,126.99384827768306,37.55680278676144
1102058,127.00227980529615,37.55560997567428
1102059,127.00362537964587,37.56520433899327
1102060,126.99649141994186,37.566640427265156
1102065,127.02201622764547,37.56358115885783
1102067,127.02079795002604,37.56841910821237
1102068,126.96596143499167,37.5573179636011
1102069,127.01377477692446,37.565747517236545
1102070,127.00826308107084,37.554702656944976
1102071,127.0102398406284,37.54983728116194
1102072,127.01498959507099,37.55685545929057
1102073,127.01867102817107,37.56059412635044
1103051,126.98058874176695,37.54993772492741
1103052,126.98353209450818,37.540238729538224
1103053,126.97350570216979,37.54510711578615
1103057,126.95139330745626,37.53310437896887
1103058,126.96130887733757,37.543051222505376
1103059,126.95858432668697,37.538146895792444
1103063,126.97095937945153,37.517277100097246
1103064,126.95393937104673,37.523331153049625
1103065,126.99324929977942,37.53339456084741
1103066,126.99213416763232,37.541660320554215
1103069,126.98837647365457,37.522469621421465
1103070,127.00126256454098,37.52587096409743
1103071,126.96716655612708,37.547857221610975
1103072,126.96656019691778,37.53747049132142
1103073,126.96785521884526,37.529184541546606
1103074,127.00580097460104,37.53710166134336
1104052,127.02769035437028,37.5614977610684
1104054,127.04049014573017,37.56763672609419
1104055,127.04543474710053,37.55801499791771
1104056,127.03605663540296,37.55901977910058
1104057,127.02950342292685,37.55667576470132
1104058,127.03398220631229,37.55098880041985
1104059,127.02505565091614,37.553668780751174
1104062,127.0246000488902,37.54459485033439
1104065,127.04104428948328,37.540420320882575
1104066,127.0439521407726,37.54907374029338
1104067,127.05528144396403,37.536655203903315
1104068,127.05814286998277,37.54554227998608
1104069,127.0656979944487,37.552333152290245
1104070,127.05784879147342,37.55854018057593
1104071,127.02956946289153,37.56679117019561
1104072,127.01989216013324,37.5514283576421
1104073,127.01617565937526,37.54196706245388
1105053,127.07345993509608,37.543264993576635
1105054,127.07368087528774,37.553065689375806
1105055,127.07772224647627,37.562037303744575
1105056,127.08458702720436,37.558908711142344
1105057,127.0819696703666,37.56785113462245
1105058,127.09444805919887,37.563911819263396
1105059,127.08164530282895,37.550657179046674
1105060,127.08603243647048,37.54149040000058
1105061,127.09445032371971,37.55100223564359
1105062,127.09523590593996,37.53509205867269
1105063,127.10487259671255,37.548283086024234
1105064,127.08041537063345,37.5355434765856
1105065,127.08325392608087,37.529334685447616
1105066,127.07119828743203,37.53169040161549
1105067,127.06376594761367,37.5338918110277
1106071,127.05140700725997,37.59370059365982
1106072,127.06247452019204,37.59187265133793
1106073,127.0664357626372,37.58650599490509
1106080,127.04511877796853,37.58894055351223
1106081,127.03228627052349,37.575616212995996
1106082,127.03724242204721,37.58367676273716
1106083,127.05104796784903,37.57901159473622
1106084,127.06114411243239,37.58072118946992
1106086,127.0611137879131,37.57089198886265
1106087,127.06858989953234,37.56623145129292
1106088,127.07253846016152,37.57576021840116
1106089,127.06029274551398,37.59722176355094
1106090,127.06749215321535,37.602833429313435
1106091,127.05169920013662,37.57094370392224
1107052,127.07814383032357,37.58937783217921
1107054,127.08647480564129,37.57347747979755
1107055,127.07966564155609,37.58297243731308
1107057,127.09269116797502,37.57729479589043
1107059,127.08946841687923,37.60202535597751
1107060,127.08389767714446,37.594244908048964
1107061,127.08314920575124,37.602287315150654
1107062,127.075208189145,37.59872325493065
1107064,127.08245047452819,37.61373601177903
1107065,127.07466565684354,37.61037217557865
1107068,127.10293946606707,37.591807695925326
1107069,127.10450668231827,37.61280174716187
1107070,127.09161631947079,37.61095053508641
1107071,127.08953054327566,37.58834061107229
1107072,127.0973812796007,37.584596516155514
1107073,127.10753599246983,37.6019869010745
1108058,127.02404157393447,37.59932703660616
1108059,127.01162922402148,37.5972752915568
1108060,127.02730901553969,37.58725170812377
1108061,127.01921889656101,37.582603258342786
1108062,127.01665279871492,37.60326167212402
1108063,127.00811819398457,37.60379361404019
1108064,126.99376497426498,37.61226302841292
1108065,126.99518011779932,37.62351062441895
1108066,127.01973516614878,37.60811224475702
1108068,127.02723103908653,37.607971098016066
1108071,127.03644794439104,37.60787813443583
1108072,127.0451926744897,37.603299815373134
1108076,127.04426486030317,37.61494425019897
1108077,127.05172669327273,37.61222375381711
1108078,127.05349443513448,37.618177891183386
1108081,126.99615007923404,37.59586827856369
1108082,127.01179563427105,37.58661879616182
1108083,127.01842606452841,37.593735434791704
1108084,127.03337444592798,37.597250069904796
1108085,127.06133585863262,37.608260240630464
1109060,127.03054500159237,37.637625967351305
1109061,127.0347946398145,37.629515298532716
1109062,127.04233589946512,37.62378240630236
1109063,127.00883894232054,37.62992670166477
1109064,127.01950374746555,37.64540181516462
1109065,127.02354625982717,37.64045507897665
1109069,127.01468427549418,37.62379261631758
1109070,127.02629268579553,37.62870001072236
1109071,127.03292179251135,37.61770490089242
1109072,127.02487133809588,37.61822154837412
1109073,127.01683063873351,37.61712720656147
1109074,127.00032299117909,37.66035273213059
1109075,127.00396297377698,37.6376406483285
1110051,127.01951193443864,37.6530253814456
1110052,127.0370018509035,37.6570620413792
1110053,127.03058634533552,37.647687184286696
1110054,127.03040767698239,37.65555057772183
1110055,127.04351705664614,37.66503304396386
1110056,127.03226016855417,37.66914508298193
1110057,127.02346952059082,37.662796240104875
1110059,127.04356411815621,37.647135180026936
1110060,127.03682485931948,37.64262633845661
1110061,127.0416274747978,37.63736038329231
1110062,127.05092641282819,37.65257763311547
1110063,127.04276634013358,37.65535977488351
1110064,127.02679415450191,37.68508408661357
1110065,127.04779209738653,37.68118802109852
1111051,127.05860352436288,37.62180521058923
1111052,127.05120660410732,37.6340748620411
1111053,127.06489183408013,37.62465545795451
1111056,127.09422790807035,37.63161361182912
1111058,127.07480878582656,37.63861784735304
1111059,127.06482290181157,37.63483892237539
1111060,127.0857614690478,37.64813646960091
1111061,127.07350089744168,37.65001712687074
1111064,127.08224213584296,37.658846973068265
1111065,127.06533296418333,37.68326823369103
1111066,127.06726546316267,37.65648818240495
1111069,127.06959880329717,37.66322072018295
1111072,127.05365095526409,37.666290126138804
1111073,127.06249591349749,37.6680701311668
1111074,127.05839849682255,37.659643753408304
1111076,127.08326687223145,37.67514555527666
1111077,127.0600921510584,37.64874986816115
1111078,127.06588790575485,37.643344218127005
1111079,127.07277010958013,37.62411898911327
1112051,126.9350497410538,37.60541498540632
1112052,126.93927147203577,37.617312537573234
1112055,126.91488711024753,37.62535252233457
1112056,126.91212349795951,37.61828359872022
1112057,126.90764653824364,37.61106365570733
1112058,126.92309503971543,37.61227983873351
1112059,126.9269001265505,37.59825533469795
1112060,126.92302423567527,37.59188520223599
1112065,126.90884284536992,37.5989936906601
1112066,126.90628553655705,37.59289124161235
1112067,126.90581107185861,37.583781240155844
1112068,126.8949008342881,37.585770584258384
1112071,126.9405177961816,37.63927860121219
1112072,126.9286503002471,37.62437284018542
1112073,126.91774524840888,37.5886536707686
1112074,126.9145294699078,37.604568866736805
1113052,126.95714053175026,37.57121446605473
1113062,126.94520070224112,37.58154125094306
1113064,126.9511599050023,37.59202282883996
1113065,126.95252583642562,37.584546810064616
1113066,126.94702732608,37.59997969394073
1113068,126.93217384072317,37.58699157241924
1113069,126.9162013795956,37.5716944275059
1113070,126.92133035658236,37.577624353847014
1113071,126.90800324904103,37.575267692367305
1113072,126.9135009487972,37.58100351394822
1113073,126.95809809183478,37.563908585093394
1113074,126.95551673425186,37.559247651768175
1113075,126.94106287299292,37.56363565644992
1113076,126.93273482278047,37.57200573359478
1114059,126.94127011355755,37.54058864509944
1114060,126.94140046210116,37.552122016353174
1114061,126.94754690580326,37.549825004956986
1114063,126.93364240012404,37.543625723138945
1114066,126.92094829881742,37.55477217827029
1114068,126.90884135469186,37.54687455031161
1114069,126.90020623547652,37.55275257498161
1114070,126.89568017644677,37.55712017862159
1114071,126.92154485816654,37.56302991902288
1114072,126.91184532004905,37.561982377116614
1114073,126.9020428525152,37.56810577128511
1114074,126.88086062558617,37.57179301577046
1114075,126.94680718363298,37.53703988514548
1114076,126.92515785032965,37.545946245217955
1114077,126.9577855893693,37.549119407541156
1114078,126.95284138383454,37.55192606419808
1115051,126.87509884213412,37.527444294055876
1115052,126.87409847861255,37.54359371670668
1115053,126.86541227964166,37.545200395931566
1115054,126.86689594620448,37.53543665672435
1115057,126.83453205009444,37.531265597456645
1115058,126.84633028948947,37.523397473080095
1115059,126.82746717058394,37.53236069111582
1115060,126.83982067379263,37.52224911245785
1115061,126.82989842631703,37.54004484516532
1115062,126.84212996234871,37.51597381795567
1115063,126.83233735451526,37.52066289414425
1115064,126.85963447817208,37.51887730816405
1115065,126.87517706467983,37.51895289212632
1115066,126.83939700410222,37.51178227377783
1115069,126.86964365051155,37.51591081227876
1115070,126.8646832561501,37.51011625504281
1115071,126.88102737877567,37.53631130152867
1115072,126.85757062505675,37.52540924953346
1116051,126.87543132399554,37.553211669777276
1116052,126.8596332976591,37.55585624228777
1116053,126.86002527281366,37.54573554962245
1116054,126.84633872179116,37.56105481239612
1116055,126.84816196619774,37.542573764974456
1116057,126.85436820123263,37.532278441882426
1116058,126.83427278268735,37.54405575571423
1116059,126.85857557760498,37.53609824281436
1116061,126.8511659002875,37.551721904104625
1116063,126.84863342498761,37.53422071160986
1116064,126.83434710468016,37.57310052968962
1116065,126.85400715047872,37.56865705765286
1116066,126.86229669716433,37.562682276406555
1116067,126.82557673916179,37.5504473669674
1116069,126.79495669179767,37.55649097910277
1116070,126.81755041020851,37.56864278542813
1116071,126.8045063682253,37.5838044603791
1116072,126.81553420840461,37.58158459356053
1116073,126.84093600091066,37.533780265863534
1116074,126.84101506521708,37.55057210725072
1117051,126.88284658969461,37.509733852980766
1117052,126.87546049615094,37.49303215487747
1117054,126.89498390409146,37.484878551359195
1117055,126.89019717022545,37.49153575189115
1117056,126.8884808288977,37.50203021268632
1117061,126.8633991149011,37.50065876183033
1117062,126.85331138857195,37.505854488134126
1117064,126.85636397202641,37.49272989776444
1117065,126.85241118533582,37.48683576061385
1117067,126.84163401994702,37.49696398120438
1117069,126.82606959436082,37.49827721314202
1117070,126.8882566726155,37.4825554644586
1117071,126.87949407933237,37.49745480397002
1117072,126.84987598214217,37.49988482080818
1118051,126.88434066869397,37.4768352607074
1118052,126.89272030244564,37.46419938561281
1118053,126.90255401394225,37.463825465718564
1118054,126.90459384628574,37.47593303651961
1118055,126.90405171798308,37.46921874671303
1118057,126.90014605898139,37.45288648449244
1118058,126.92007309206946,37.4505899744247
1118059,126.90592558888758,37.440276302031904
1118060,126.90910545492352,37.46007805131972
1118061,126.91243108199002,37.4487499497523
1119054,126.92757086379433,37.52748902713228
1119055,126.8968512088348,37.523930733931934
1119056,126.90391180797378,37.53298289917499
1119061,126.88707340139483,37.525074149398876
1119062,126.89417786799973,37.540600405899696
1119063,126.91951051560977,37.512337906937034
1119065,126.90588662734017,37.50644709829762
1119066,126.91291790021256,37.50728457676611
1119067,126.90555465656846,37.501117087812005
1119068,126.9135411087851,37.49915626123203
1119069,126.91980313707455,37.50579781064794
1119070,126.90526160032844,37.49376859379766
1119071,126.90064337542954,37.4896346399107
1119072,126.89727217429383,37.499868270120906
1119073,126.90969575892476,37.513722456135795
1119074,126.90784213998174,37.52152233014446
1119075,126.90123578092383,37.509277247089464
1119076,126.89147171207705,37.516380456863786
1120052,126.9380025931803,37.510929981966335
1120053,126.95347044370735,37.49832854864789
1120054,126.94206010678694,37.503673782654545
1120055,126.9333543502153,37.497227686346115
1120056,126.94076348020265,37.497428852203164
1120063,126.9774091840261,37.47971692741977
1120065,126.97086201863029,37.48881204459634
1120066,126.97077001446576,37.480590825592756
1120067,126.9650402037587,37.4858038923803
1120068,126.92802623677373,37.507114149333
1120069,126.9107055147596,37.48994822040151
1120070,126.92153186086702,37.49430969709832
1120071,126.96376288134446,37.506296220390645
1120072,126.94915474328468,37.513025381195796
1120073,126.97519183139097,37.49823275043497
1121052,126.93259450674057,37.49035779231733
1121054,126.95956854749652,37.4894146912987
1121057,126.96062219562774,37.480903616114006
1121058,126.96004577972577,37.46723063684459
1121061,126.95061800549013,37.48412242094694
1121062,126.96661900245213,37.47207782305833
1121063,126.97664021536134,37.46247161905573
1121064,126.93344468201876,37.48060170592283
1121065,126.92669876738293,37.47930040638244
1121066,126.93921006849773,37.473548458075946
1121068,126.91875293414039,37.48562549771322
1121069,126.9276128725005,37.48690034172706
1121071,126.91826628532294,37.46158876662517
1121072,126.90752521995456,37.48293838196251
1121073,126.94848184993853,37.453475402708534
